,Country Code,Category,Name,Avg Price,Currency,Nb of Offers,Rank,Rating,Reviews,Description,scrape_link,date_scraped,Produsenter,Bildestørrelse,Oppløsning,Skjermteknologi,HDR,Smart TV,Lanseringsår,Pris/tommer,Produktnavn,Kategori,"TV-mottaker, digital",Doble mottakere,Støtte for CI/CA-modul,CI+,Type av digitale mottakere,"Analog 3,5mm-inngang",Digital optisk ut (S/PDIF),HDMI,Antall HDMI-innganger,HDCP-versjon,HDMI-versjon,Standarder som støttes,Hodetelefonutgang,Komponent inn (YPbPr/YCbCr),Kompositt inn,USB-kontakt,Innspillingsfunksjon via USB (PVR),USB 2.0,USB 3.1 Gen 1 (5Gbps),USB-kontakt (totalt),VGA inn,Øvrige tilkoblinger,Bevegelsesforbedring (frekvens/indeks),Metode,Bildeforhold,Bildefrekvens,Bildestørrelse (cm),Bildstorlek,Lysstyrke,Oppdateringsfrekvens,Skjermtype,Støttede videoformater,Bildefiler som støttes,Lydfiler som støttes,Lydformat,Videofiler som støttes,Design panel,Tilgjengelige farger,Dybde uten stativ,"Høyde, uten stativ",Mål (BxHxD),Bredde,Dybde,Høyde,Produktvekt,Vekt uten stativ,Funksjoner,Internettjenester/apper som støttes,Operativsystem,Ethernet-tilkobling,Trådløst nettverk (Wi-Fi),Trådløs nettverksstandard (IEEE 802.11),3D-støtte (3D-Ready),DLNA,Full HD (HD ready 1080p),4K120,Ultra HD-sertifisert (UHD/4K),Type av HDR,Streaming-standard,VESA-feste,Type VESA-feste,Integrerte høyttalere,Prosessorhastighet,Energiforbruk i HDR-modus (per 1000 t),Energiforbruk i SDR-modus (per 1000 t),Energiklasse (A-G),Energiklasse (HDR),Strømforbruk operativ (min-maks),Strømforbruk standby/hvilemodus,Tilkobling for 9V/12V/14V,Bakgrunnsbelysning,Diodeplassering,Teknologier,Paneltype,Brilleteknologi,Medfølgende briller
94,NO,TV,"Samsung The Sero QE43LS05T 43"" 4K Ultra HD (3840x2160) QLED Smart TV",14163.67,NOK,3.0,Rangering 99,3.8,(1 anmeldelse),"Den billigste prisen for Samsung The Sero QE43LS05T 43"" 4K Ultra HD (3840x2160) QLED Smart TV akkurat nå er 12 999 ,-. Det er et av de 100 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 3.8 av 5.  Prisjakt sammenligner priser og tilbud fra 3 butikker. ",https://www.prisjakt.no/product.php?p=5311971,23/08/2022 09:09:44,Samsung,43 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2020,302.3 kr/tomme,"Samsung The Sero QE43LS05T 43"" 4K Ultra HD (3840x2160) QLED Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,,,,Nei,,,Ja,Ja,,0 stk,2 stk,Nei,,Ja,,16:9,"24p, 30p, 60p, 50p",108 cm,43 Tommer,,50 Hz,,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",JPEG/JPG,"MP3, WMA, WAV (PCM), AAC",Dolby Digital Plus,"MPEG1, MPEG2, MPEG4, WMV, 3GP/3GPP, AVC/H.264, HD WMV9 (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265",Flat,"Sort, Hvit, Grå, Blå",83.4 mm,1200 mm,,564 mm,327 mm,1200 mm,33.3 kg,26 kg,"Bluetooth, Talestyring, Omgivelseslys (Ambilight), Time-Shift, Støtter NFC, Mobilapp for styring av funksjoner, Støtte for HbbTV, ALLM","Facebook, YouTube, Spotify, Nettleser, Netflix, Viaplay, SVT Play, TV4 Play, SF Anytime, Amazon Prime Video",Tizen OS,Ja,Ja,"802.11a, 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,,Ja,"HDR10, HLG, HDR10+",Miracast,Ja,200x200mm,,,135 kWh,115 kWh,G,G,96 W,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),Quantum dot,,,
95,NO,TV,"Samsung QLED QE55Q60A 55"" 4K Ultra HD (3840x2160) Smart TV",11483.33,NOK,6.0,Rangering 101,,(1),"Den billigste prisen for Samsung QLED QE55Q60A 55"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 7 790 ,-.   Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5734882,23/08/2022 09:09:49,Samsung,55 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,141.64 kr/tomme,"Samsung QLED QE55Q60A 55"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",0 stk,Ja,Ja,3 stk,2.3,2.0,"eARC, ARC",Nei,,,Ja,Ja,2 stk,0 stk,2 stk,Nei,,Ja,Samsung Picture Quality Index (PQI) 3100,16:9,"24p, 30p, 60p, 50p",138 cm,55 Tommer,,60 Hz,QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP, GIF","MP3, WMA, Ogg Vorbis, FLAC, WAV (PCM), AAC, AIFF, Apple Lossless (ALAC)",Dolby Digital Plus,,,Sort,25.7 mm,846 mm,,1232.1 mm,228.8 mm,747.8 mm,16.2 kg,15.5 kg,"Bluetooth, Talestyring, Time-Shift, Støtte for HbbTV",Nettleser,Tizen OS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,,Ja,"HDR10, HLG, HDR10+",,Ja,200x200mm,2.0 (Stereo),,140 kWh,77 kWh,F,G,77 W,0.5 W,Nei,LED (lysdiode),,Quantum dot,,,
96,NO,TV,"Samsung UE75TU6905 75"" 4K Ultra HD (3840x2160) LCD Smart TV",10520.38,NOK,8.0,Rangering 92,,(1),"Den billigste prisen for Samsung UE75TU6905 75"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 9 990 ,-. Det er et av de 100 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 8 butikker. ",https://www.prisjakt.no/product.php?p=5531159,23/08/2022 09:09:57,Samsung,75 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,NO,TV,"Samsung Neo QLED QE75QN85A 75"" 4K Ultra HD (3840x2160) Smart TV",23660.00,NOK,3.0,Rangering 102,,(1),"Den billigste prisen for Samsung Neo QLED QE75QN85A 75"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 22 990 ,-.   Prisjakt sammenligner priser og tilbud fra 3 butikker. ",https://www.prisjakt.no/product.php?p=5734916,23/08/2022 09:10:02,Samsung,75 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,306.53 kr/tomme,"Samsung Neo QLED QE75QN85A 75"" 4K Ultra HD (3840x2160) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,,Ja,4 stk,,2.1,"eARC, ARC",Nei,,,Ja,,,,2 stk,,,Ja,Samsung Picture Quality Index (PQI) 4300,16:9,"24p, 30p, 60p, 50p, 120p",189 cm,75 Tommer,,120 Hz,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,"Dolby Digital 5.1, Dolby Digital Plus",,Flat,"Sort, Sølv, Grå",27.7 mm,958.2 mm,,1670.4 mm,317.2 mm,1019.9 mm,40.9 kg,34.6 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Støtter NFC, Synkroniseringsmetode, Variable Refresh Rate (VRR)",,Tizen OS,Ja,Ja,802.11ac (Wi-Fi 5),,Ja,Ja,Ja,Ja,"HDR10, HLG, HDR10+",,Ja,400x400mm,Flerkanal,,224 kWh,106 kWh,E,G,,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),"Quantum dot, Lokal dimming, Mini-LED",IPS,,
98,NO,TV,"Samsung OLED S95B 55"" 4K Ultra HD (3840x2160) Smart TV",27082.00,NOK,6.0,Rangering 103,1.5,(1 anmeldelse),"Den billigste prisen for Samsung OLED S95B 55"" 4K Ultra HD (3840x2160) Smart TV akkurat nå er 24 990 ,-.   Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=6239452,23/08/2022 09:10:07,Samsung,55 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2022,454.36 kr/tomme,"Samsung OLED S95B 55"" 4K Ultra HD (3840x2160) Smart TV",TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 Tommer,,,,2160p (4K Ultra HD),,,,,,"Sort, Sølv",,,,,,,,,Bluetooth,,Tizen OS,,Ja,,,,Ja,,Ja,,,,,,,,,,,,,Nei,,,,,,
99,NO,TV,"LG 43UQ7500 43"" 4K Ultra HD (3840x2160) LCD Smart TV",5194.00,NOK,7.0,Rangering 94,,(1),"Den billigste prisen for LG 43UQ7500 43"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 3 990 ,-. Det er et av de 100 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 7 butikker. ",https://www.prisjakt.no/product.php?p=6026963,23/08/2022 09:10:10,LG,43 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,NO,TV,"Xiaomi Mi 4A 32"" HD Ready (1366x768) LCD Smart TV",2957.33,NOK,6.0,Rangering 105,3.9,(3 anmeldelser),"Den billigste prisen for Xiaomi Mi 4A 32"" HD Ready (1366x768) LCD Smart TV akkurat nå er 2 141 ,-.   Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5091828,23/08/2022 09:10:13,Xiaomi,32 Tommer,1366x768,LCD,Ja,Ja,2019,66.91 kr/tomme,"Xiaomi Mi 4A 32"" HD Ready (1366x768) LCD Smart TV",TV,Ja,,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.)",,,Ja,3 stk,,1.4,,Ja,,1 stk,Ja,,1 stk,,2 stk,,,,,16:9,,,32 Tommer,220 cd/m²,,,"720p, 1080i, 2160p (4K Ultra HD)",JPEG/JPG,,,"MPEG1, MPEG2, MPEG4, AVC/H.264",,Sort,80 mm,479 mm,,698.21 mm,180 mm,80 mm,3.95 kg,3.9 kg,Bluetooth,SVT Play,Android,Ja,Ja,"802.11a, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Nei,,,,,Ja,100x100mm,,,,,,,45 - 35 W,0.5 W,,LED (lysdiode),Bakbelyst (Back),,,,
101,NO,TV,"Samsung The Frame QE43LS03B 43"" 4K Ultra HD (3840x2160) QLED Smart TV",9656.00,NOK,9.0,Rangering 87,3.8,(1 anmeldelse),"Den billigste prisen for Samsung The Frame QE43LS03B 43"" 4K Ultra HD (3840x2160) QLED Smart TV akkurat nå er 8 990 ,-. Det er et av de 100 mest populære produktene i kategorien TV med en gjennomsnittlig vurdering på 3.8 av 5.  Prisjakt sammenligner priser og tilbud fra 9 butikker. ",https://www.prisjakt.no/product.php?p=6026996,23/08/2022 09:10:17,Samsung,43 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2022,209.07 kr/tomme,"Samsung The Frame QE43LS03B 43"" 4K Ultra HD (3840x2160) QLED Smart TV",TV,Ja,,Ja,,"DVB-T2 (digitalt bakkenett-TV, 2. gen.)",,,Ja,4 stk,,,eARC,,,,Ja,,,,,,,,,,,108 cm,43 Tommer,,50 Hz,QLED,"720p, 1080i, 2160p (4K Ultra HD)",,,,,Flat,Sort,24.9 mm,557.8 mm,,,,,8.9 kg,8.6 kg,"Bluetooth, ALLM, Slim One Connect",,Tizen OS,Ja,Ja,802.11ac (Wi-Fi 5),,Ja,Ja,Nei,Ja,"HLG, HDR10+",,Ja,200x200mm,2.0 (Stereo),,,,G,,,0.5 W,Nei,LED (lysdiode),,Quantum dot,,,
102,NO,TV,"LG OLED77C2 77"" 4K Ultra HD (3840x2160) OLED Smart TV",37990.00,NOK,4.0,Rangering 107,,(1),"Den billigste prisen for LG OLED77C2 77"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 37 990 ,-.   Prisjakt sammenligner priser og tilbud fra 4 butikker. ",https://www.prisjakt.no/product.php?p=6003074,23/08/2022 09:10:21,LG,77 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,NO,TV,"Philips 70PUS7906 70"" 4K Ultra HD (3840x2160) LCD Smart TV",10125.00,NOK,6.0,Rangering 108,,(1),"Den billigste prisen for Philips 70PUS7906 70"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 6 990 ,-.   Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5729603,23/08/2022 09:10:24,Philips,70 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,,99.86 kr/tomme,"Philips 70PUS7906 70"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,,,,,,,Ja,,,,2 stk,,,,,16:9,"24p, 30p, 60p, 50p",177 cm,70 Tommer,,50 Hz,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",JPEG/JPG,"MP3, WMA, WAV (PCM), AAC",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265, AV1",,"Sort, Grå, Tre",85 mm,1025 mm,,1572 mm,1572 mm,903 mm,25.2 kg,24.6 kg,"Bluetooth, Talestyring, Omgivelseslys (Ambilight), Støtte for HbbTV, Synkroniseringsmetode, Variable Refresh Rate (VRR)","YouTube, Nettleser, Netflix, SVT Play",Android,Ja,Nei,,,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,300x300mm,,,,,,G,134 W,0.3 W,Nei,LED (lysdiode),,,,,
104,NO,TV,"LG 55UQ7500 55"" 4K Ultra HD (3840x2160) LCD Smart TV",7442.33,NOK,6.0,Rangering 96,,(1),"Den billigste prisen for LG 55UQ7500 55"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 4 990 ,-. Det er et av de 100 mest populære produktene i kategorien TV.  Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=6026945,23/08/2022 09:10:31,LG,55 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,NO,TV,"LG OLED55G1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",19081.00,NOK,1.0,Rangering 112,4.2,(2 anmeldelser),"Den billigste prisen for LG OLED55G1 55"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 19 081 ,-.   Prisjakt sammenligner priser og tilbud fra nettbutikker og fysiske butikker. ",https://www.prisjakt.no/product.php?p=5688337,23/08/2022 09:10:34,LG,55 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2021,346.93 kr/tomme,"LG OLED55G1 55"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",0 stk,Ja,Ja,4 stk,2.2,2.1,eARC,Ja,0 stk,0 stk,Ja,Nei,3 stk,0 stk,3 stk,Nei,,Ja,LG OLED Motion Pro,16:9,"24p, 30p, 60p, 50p, 120p",139 cm,55 Tommer,,120 Hz,OLED evo,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC, AAC+, eAAC+",Dolby Atmos,"Xvid, MPEG1, MPEG2, MPEG4, WMV, 3GP/3GPP, AVC/H.264, HD WMV9 (VC-1), AVI, Matroska (MKV), MOV, TS, HEVC/H.265, VP9",Flat,"Sort, Sølv",23.1 mm,706 mm,,1225 mm,271 mm,765 mm,22.5 kg,21.8 kg,"Bilde i bilde (PiP), Bluetooth, Talestyring, Time-Shift, Støtter NFC, Mobilapp for styring av funksjoner, Støtte for HbbTV, Synkroniseringsmetode, Støtte for HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Nettleser, Netflix, Viaplay, HBO GO, SVT Play, TV4 Play, SF Anytime, HBO Nordic, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","AirPlay, WiDi (Wireless Display), Miracast, AirPlay 2",Ja,,Flerkanal,,165 kWh,107 kWh,G,G,107 - 165 W,0.5 W,Nei,,,,,,
106,NO,TV,"Samsung Neo QLED QE65QN800A 65"" 8K (7680x4320) Smart TV",25991.67,NOK,6.0,Rangering 109,,(1),"Den billigste prisen for Samsung Neo QLED QE65QN800A 65"" 8K (7680x4320) Smart TV akkurat nå er 21 990 ,-.   Prisjakt sammenligner priser og tilbud fra 6 butikker. ",https://www.prisjakt.no/product.php?p=5727075,23/08/2022 09:10:37,Samsung,65 Tommer,8K (7680x4320),LCD,Ja,Ja,2021,338.31 kr/tomme,"Samsung Neo QLED QE65QN800A 65"" 8K (7680x4320) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,,Ja,4 stk,,,,Nei,,,Ja,Ja,,,3 stk,,,,,16:9,"24p, 30p, 60p, 50p, 120p",163 cm,65 Tommer,,100 Hz,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,Dolby Digital Plus,,Flat,"Sort, Sølv, Grå",16.9 mm,828.4 mm,,1443.7 mm,300.6 mm,897.4 mm,30.8 kg,22.7 kg,"Bluetooth, Talestyring, Støtter NFC, Støtte for HbbTV, Synkroniseringsmetode, ALLM, Variable Refresh Rate (VRR), One Connect, Slim One Connect",,Tizen OS,,Ja,802.11a,,Ja,Ja,,Ja,"HDR10, HLG",,Ja,400x300mm,,,328 kWh,242 kWh,G,G,242 W,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),Quantum dot,,,
107,NO,TV,"Sony Bravia XR-75X90J 75"" 4K Ultra HD (3840x2160) LCD Google TV",15990.00,NOK,1.0,Rangering 110,4.3,(4 anmeldelser),"Den billigste prisen for Sony Bravia XR-75X90J 75"" 4K Ultra HD (3840x2160) LCD Google TV akkurat nå er 15 990 ,-.   Prisjakt sammenligner priser og tilbud fra nettbutikker og fysiske butikker. ",https://www.prisjakt.no/product.php?p=5752441,23/08/2022 09:10:39,Sony,75 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,2021,213.2 kr/tomme,"Sony Bravia XR-75X90J 75"" 4K Ultra HD (3840x2160) LCD Google TV",TV,Ja,Ja,Ja,Ja,"DVB-C (digital kabel-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Nei,Ja,4 stk,2.3,2.1,"eARC, ARC",Ja,0 stk,1 stk,Ja,,,,2 stk,Nei,,,,,"24p, 30p, 60p, 50p, 120p",189 cm,75 Tommer,,120 Hz,,2160p (4K Ultra HD),,,Dolby Atmos,,Flat,"Sort, Titan",73 mm,962 mm,,1675 mm,410 mm,1040 mm,33.3 kg,,"Bluetooth, Talestyring, Støtte for HomeKit, ALLM, Variable Refresh Rate (VRR)",Netflix,,Ja,Ja,802.11ac (Wi-Fi 5),Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG, HDR10+","AirPlay, Google Cast/Chromecast",Ja,300x300mm,,,219 kWh,164 kWh,G,G,,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),Lokal dimming,VA,,
108,NO,TV,"LG OLED97G29LA 97"" 4K Ultra HD (3840x2160) OLED Smart TV",249990.00,NOK,1.0,Rangering 113,,(1),"Den billigste prisen for LG OLED97G29LA 97"" 4K Ultra HD (3840x2160) OLED Smart TV akkurat nå er 249 990 ,-.   Prisjakt sammenligner priser og tilbud fra nettbutikker og fysiske butikker. ",https://www.prisjakt.no/product.php?p=6237502,23/08/2022 09:10:42,LG,97 Tommer,4K Ultra HD (3840x2160),OLED,Ja,Ja,2022,2577.22 kr/tomme,"LG OLED97G29LA 97"" 4K Ultra HD (3840x2160) OLED Smart TV",TV,Ja,,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,2.2,2.1,eARC,,0 stk,0 stk,Ja,Nei,3 stk,0 stk,3 stk,Nei,,Ja,LG OLED Motion Pro,16:9,"24p, 60p, 50p, 120p",,97 Tommer,,120 Hz,OLED evo,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)","JPEG/JPG, PNG, BMP","MP3, WMA, WAV (PCM), AAC","Dolby Digital 5.1, Dolby Digital Plus, Dolby Atmos","DivX, Xvid, MPEG2, MPEG4, 3GP/3GPP, AVC/H.264, HD WMV9 (VC-1), AVI, Matroska (MKV), MOV, TS, FLV, HEVC/H.265, VP9",Flat,Sølv,,,,,,,,,"Bluetooth, Talestyring, Time-Shift, Støtter NFC, Mobilapp for styring av funksjoner, Støtte for HbbTV, Synkroniseringsmetode, Støtte for HomeKit, ALLM, Variable Refresh Rate (VRR)","YouTube, Spotify, Nettleser, Netflix, Viaplay, SVT Play, TV4 Play, SF Anytime, Amazon Prime Video, Apple TV+",WebOS,Ja,Ja,"802.11a, 802.11b, 802.11g, 802.11n (Wi-Fi 4), 802.11ac (Wi-Fi 5)",Nei,Ja,Ja,Ja,Ja,"Dolby Vision, HDR10, HLG","Miracast, AirPlay 2",Ja,,Flerkanal,,,,,,,0.5 W,Nei,,,,,,
109,NO,TV,"Philips 65PUS7906 65"" 4K Ultra HD (3840x2160) LCD Smart TV",8926.00,NOK,5.0,Rangering 106,,(1),"Den billigste prisen for Philips 65PUS7906 65"" 4K Ultra HD (3840x2160) LCD Smart TV akkurat nå er 6 490 ,-.   Prisjakt sammenligner priser og tilbud fra 5 butikker. ",https://www.prisjakt.no/product.php?p=5729602,23/08/2022 09:10:46,Philips,65 Tommer,4K Ultra HD (3840x2160),LCD,Ja,Ja,,99.85 kr/tomme,"Philips 65PUS7906 65"" 4K Ultra HD (3840x2160) LCD Smart TV",TV,Ja,Nei,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,Ja,Ja,4 stk,,2.1,,,,,Ja,,,,2 stk,,,,,16:9,"24p, 30p, 60p, 50p",164 cm,65 Tommer,,50 Hz,LED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,"MP3, WMA, WAV (PCM), AAC",Dolby Atmos,"MPEG1, MPEG2, MPEG4, AVC/H.264, AVI, Matroska (MKV), HEVC/H.265, AV1",,"Sort, Grå, Tre",85 mm,833.5 mm,,1451 mm,1451 mm,861 mm,21.5 kg,21.3 kg,"Bluetooth, Talestyring, Omgivelseslys (Ambilight), Støtte for HbbTV, Synkroniseringsmetode, Variable Refresh Rate (VRR)","YouTube, Nettleser, Netflix, SVT Play",Android,Ja,Nei,,,Ja,Ja,,Ja,"Dolby Vision, HDR10, HLG, HDR10+",,Ja,300x300mm,,,,,,,116 W,0.3 W,Nei,LED (lysdiode),,,,,
110,NO,TV,"Samsung Neo QLED QE75QN800A 75"" 8K (7680x4320) Smart TV",45000.00,NOK,1.0,Rangering 120,,(1),"Den billigste prisen for Samsung Neo QLED QE75QN800A 75"" 8K (7680x4320) Smart TV akkurat nå er 45 000 ,-.   Prisjakt sammenligner priser og tilbud fra nettbutikker og fysiske butikker. ",https://www.prisjakt.no/product.php?p=5691325,23/08/2022 09:10:49,Samsung,75 Tommer,8K (7680x4320),LCD,Ja,Ja,2021,600 kr/tomme,"Samsung Neo QLED QE75QN800A 75"" 8K (7680x4320) Smart TV",TV,Ja,Ja,Ja,Ja,"DVB-T (digitalt bakkenett-TV), DVB-C (digital kabel-TV), DVB-S (satellitt-TV), DVB-T2 (digitalt bakkenett-TV, 2. gen.), DVB-S2 (satellitt-TV, 2. gen.)",,,Ja,4 stk,,,,Nei,,,Ja,Ja,,,3 stk,,,,,16:9,"24p, 30p, 60p, 50p",189 cm,75 Tommer,,100 Hz,Neo QLED,"480p, 576p, 720p, 1080p (Full HD), 1080i, 480i, 576i, 2160p (4K Ultra HD)",,,Dolby Digital Plus,,Flat,"Sort, Sølv, Grå",17.4 mm,955.6 mm,,1668.3 mm,320.5 mm,1022.9 mm,42.2 kg,32.1 kg,"Bluetooth, Talestyring, Støtter NFC, Støtte for HbbTV, Synkroniseringsmetode, ALLM, One Connect, Slim One Connect",,Tizen OS,,Ja,802.11a,,Ja,Ja,,Ja,"HDR10, HLG",,Ja,400x400mm,,,387 kWh,286 kWh,G,G,286 W,0.5 W,Nei,LED (lysdiode),Bakbelyst (Back),,,,
